col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1475y1390z1395 nht 35.0 5 20 1350 86.0 1.2 26.0 4.3 38.0 3.5 1.4e-07 0.75 3.0 2.3 33.0 0.75 90.0 16.0 27.0 9.3e-08 1.3e-10 1.4e-08 7.7 0.57 1.6 76.0 15.0 23.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 6 39 1885 38.0 1.6 7.9 3.8 32.0 2.3 7.8e-09 0.86 4.3 1.6 26.0 0.86 59.0 13.0 18.0 2.4e-08 1.8e-11 2.3e-09 8.4 0.36 1.6 43.0 12.0 14.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 7 16 643 37.0 1.5 8.6 3.2 33.0 2.0 2.4e-07 0.61 2.9 1.6 28.0 0.61 79.0 15.0 20.0 2.7e-08 5.6e-11 2e-09 6.4 0.76 1.2 66.0 14.0 17.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 8 37 5176 30.0 2.0 1.7 7.1 28.0 2.3 5.1e-09 1.7 12.0 2.0 7.0 1.7 170.0 12.0 30.0 3.1e-05 3.4e-10 1.6e-06 71.0 3.9 11.0 33.0 4.8 6.9 True True False False True "> 35" True
"" x1475y1390z1395 nht 35.0 9 22 2792 60.0 1.3 19.0 5.4 26.0 4.6 2.2e-08 1.0 2.6 2.4 23.0 1.0 120.0 15.0 24.0 1.8e-07 1.6e-10 1.7e-08 22.0 0.73 2.3 74.0 14.0 20.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 11 31 1732 58.0 1.9 12.0 5.7 53.0 2.8 2.4e-08 1.2 5.2 2.0 43.0 1.2 220.0 21.0 37.0 6.5e-06 2e-10 2.5e-07 24.0 0.65 2.6 170.0 20.0 31.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 12 31 1231 29.0 2.4 10.0 2.4 39.0 2.4 6.8e-10 1.9 4.1 2.2 32.0 1.9 70.0 32.0 32.0 2.4e-08 7.1e-10 3.7e-09 8.1 2.9 3.3 54.0 25.0 26.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 13 50 2763 25.0 5.3e-07 3.2e-08 2.5e-07 19.0 2.1 1.4e-10 1.6 3.7 1.4 14.0 1.6 160.0 3.1 21.0 1.1e-06 4.6e-13 3.8e-08 29.0 0.1 2.8 110.0 2.0 15.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 14 55 8145 51.0 1.4 10.0 3.6 36.0 2.2 5e-09 1.0 1.9 2.0 32.0 1.0 170.0 37.0 42.0 1.5e-06 1.5e-09 6.1e-08 14.0 1.8 2.6 140.0 33.0 37.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 15 17 1048 38.0 2.0 13.0 2.0 51.0 2.0 1.5e-09 1.8 8.8 2.0 24.0 1.8 28.0 6.3 7.3 1.2e-09 3.6e-12 1.1e-10 5.9 0.99 1.3 16.0 4.0 4.7 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 16 33 3525 22.0 1.9 8.3 1.9 31.0 1.9 5e-10 1.7 3.5 1.8 26.0 1.7 150.0 8.9 17.0 1.2e-05 7.9e-11 4.7e-07 59.0 0.59 4.0 38.0 6.3 8.1 True True False False True "> 35" True
"" x1475y1390z1395 nht 35.0 18 18 48825 57.0 1.7 9.0 4.7 44.0 2.4 0.00098 0.61 21.0 2.2 3.3 0.61 1400.0 95.0 330.0 0.19 6e-06 0.035 690.0 37.0 160.0 43.0 7.4 13.0 True True False False True "> 35" True
"" x1475y1390z1395 nht 35.0 19 37 2298 40.0 2.6 3.1 14.0 38.0 3.1 7.9e-09 1.3 4.0 2.1 30.0 1.3 46.0 17.0 17.0 4.6e-09 5.1e-11 6.1e-10 3.3 0.68 0.9 39.0 16.0 15.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 21 41 1859 23.0 2.7 9.2 2.7 32.0 2.7 4e-09 1.1 3.4 2.2 27.0 1.1 51.0 24.0 25.0 9.6e-09 3.6e-10 1.3e-09 6.2 2.4 2.2 42.0 21.0 20.0 True False True False True "> 35" True
"" x1475y1390z1395 nht 35.0 22 122 19959 54.0 1.4 12.0 3.8 49.0 1.9 0.00022 0.52 540.0 0.74 19.0 0.52 72.0 5.4 9.4 6e-06 6.1e-12 6.8e-08 20.0 0.6 1.7 59.0 3.3 5.9 True False True False True "> 35" True
